direction,session,entry_ts,entry_price,box_high,box_low,atr,sl,tp,exit_ts,exit_price,exit_reason,bars_held,pnl_pips,net_pips,is_oos,orb_internal_dir,h1_aligned,atr_percentile,h2_regime,orb_size_atr,h3_tier,h5_swept_pre
long,london,2025-06-13T08:20:00+00:00,3422.7,3422.7,3414.36,3.58429,3417.32357,3433.45286,2025-06-13T10:15:00+00:00,3417.32357,sl,23,-53.76,-57.96,False,up,True,0.0,compression,0.138,narrow,False
long,ny,2025-06-13T14:45:00+00:00,3436.82,3436.82,3433.0,5.10214,3429.16679,3452.12643,2025-06-13T14:50:00+00:00,3429.16679,sl,1,-76.53,-80.73,False,up,True,0.0,compression,0.063,narrow,False
long,london,2025-06-16T10:45:00+00:00,3415.17,3415.17,3409.79,2.48143,3411.44786,3422.61429,2025-06-16T11:20:00+00:00,3422.61429,tp,7,74.44,70.24,False,up,True,13.3,compression,0.087,narrow,False
short,london,2025-06-17T08:20:00+00:00,3384.91,3388.66,3384.91,3.01929,3389.43893,3375.85214,2025-06-17T09:05:00+00:00,3375.85214,tp,9,90.58,86.38,False,down,True,25.0,compression,0.06,narrow,False
short,london,2025-06-18T08:45:00+00:00,3384.97,3388.39,3384.97,1.94429,3387.88643,3379.13714,2025-06-18T09:45:00+00:00,3379.13714,tp,12,58.33,54.13,False,down,True,0.0,compression,0.057,narrow,False
long,ny,2025-06-18T14:45:00+00:00,3388.77,3388.77,3382.39,4.50714,3382.00929,3402.29143,2025-06-18T15:15:00+00:00,3382.00929,sl,6,-67.61,-71.81,False,up,True,0.0,compression,0.107,narrow,True
long,london,2025-06-19T08:20:00+00:00,3366.5,3366.5,3362.27,3.89857,3360.65214,3378.19571,2025-06-19T10:40:00+00:00,3378.19571,tp,28,116.96,112.76,False,down,False,0.0,compression,0.075,narrow,False
long,ny,2025-06-19T15:50:00+00:00,3366.78,3366.78,3361.67,2.64714,3362.80929,3374.72143,2025-06-19T22:10:00+00:00,3362.80929,sl,18,-39.71,-43.91,False,up,True,0.0,compression,0.091,narrow,False
long,london,2025-06-20T08:40:00+00:00,3349.06,3349.06,3346.75,2.17929,3345.79107,3355.59786,2025-06-20T09:25:00+00:00,3355.59786,tp,9,65.38,61.18,False,up,True,0.0,compression,0.042,narrow,False
long,ny,2025-06-20T14:55:00+00:00,3370.45,3370.45,3365.4,3.58214,3365.07679,3381.19643,2025-06-20T18:15:00+00:00,3365.07679,sl,40,-53.73,-57.93,False,down,False,0.0,compression,0.091,narrow,False
long,london,2025-06-23T09:00:00+00:00,3362.37,3362.37,3357.6,2.28786,3358.93821,3369.23357,2025-06-23T11:00:00+00:00,3369.23357,tp,24,68.64,64.44,False,down,False,0.0,compression,0.094,narrow,False
long,ny,2025-06-23T14:45:00+00:00,3383.94,3383.94,3377.65,5.05857,3376.35214,3399.11571,2025-06-23T17:25:00+00:00,3376.35214,sl,32,-75.88,-80.08,False,up,True,0.0,compression,0.124,narrow,False
short,london,2025-06-24T08:25:00+00:00,3326.32,3332.17,3326.32,3.90857,3332.18286,3314.59429,2025-06-24T12:10:00+00:00,3314.59429,tp,45,117.26,113.06,False,up,False,0.0,compression,0.116,narrow,False
short,ny,2025-06-24T15:00:00+00:00,3301.91,3309.01,3301.91,4.31857,3308.38786,3288.95429,2025-06-24T15:25:00+00:00,3308.38786,sl,5,-64.78,-68.98,False,up,False,0.0,compression,0.141,narrow,False
short,london,2025-06-25T08:15:00+00:00,3327.89,3332.38,3327.89,2.70143,3331.94214,3319.78571,2025-06-25T12:40:00+00:00,3319.78571,tp,53,81.04,76.84,False,down,True,9.1,compression,0.087,narrow,True
long,ny,2025-06-25T14:50:00+00:00,3323.45,3323.45,3320.55,2.94071,3319.03893,3332.27214,2025-06-25T16:40:00+00:00,3332.27214,tp,22,88.22,84.02,False,up,True,9.1,compression,0.056,narrow,False
long,london,2025-06-26T08:40:00+00:00,3347.39,3347.39,3344.43,1.68214,3344.86679,3352.43643,2025-06-26T09:00:00+00:00,3344.86679,sl,4,-25.23,-29.43,False,up,True,0.0,compression,0.06,narrow,False
long,ny,2025-06-26T16:10:00+00:00,3320.23,3320.23,3311.99,1.87643,3317.41536,3325.85929,2025-06-26T16:15:00+00:00,3325.85929,tp,1,56.29,52.09,False,up,True,0.0,compression,0.167,narrow,False
short,london,2025-06-27T08:20:00+00:00,3282.37,3287.88,3282.37,3.32643,3287.35964,3272.39071,2025-06-27T08:40:00+00:00,3287.35964,sl,4,-49.9,-54.1,False,down,True,0.0,compression,0.117,narrow,False
short,ny,2025-06-27T14:45:00+00:00,3265.92,3278.02,3265.92,4.97143,3273.37714,3251.00571,2025-06-27T15:00:00+00:00,3273.37714,sl,3,-74.57,-78.77,False,down,True,0.0,compression,0.256,narrow,False
short,london,2025-06-30T08:50:00+00:00,3292.78,3296.59,3292.78,2.44429,3296.44643,3285.44714,2025-06-30T09:05:00+00:00,3285.44714,tp,3,73.33,69.13,False,down,True,5.0,compression,0.078,narrow,False
long,ny,2025-06-30T15:00:00+00:00,3289.55,3289.55,3284.03,3.14357,3284.83464,3298.98071,2025-06-30T15:10:00+00:00,3284.83464,sl,2,-47.15,-51.35,False,up,True,5.0,compression,0.113,narrow,False
long,london,2025-07-01T08:35:00+00:00,3342.08,3342.08,3337.71,2.65214,3338.10179,3350.03643,2025-07-01T08:45:00+00:00,3338.10179,sl,2,-39.78,-43.98,False,down,False,14.3,compression,0.089,narrow,False
short,ny,2025-07-01T14:50:00+00:00,3345.98,3352.52,3345.98,3.62429,3351.41643,3335.10714,2025-07-01T20:50:00+00:00,3339.01,time,72,69.7,65.5,False,down,True,14.3,compression,0.133,narrow,False
long,london,2025-07-02T08:15:00+00:00,3335.88,3335.88,3333.02,2.57357,3332.01964,3343.60071,2025-07-02T10:05:00+00:00,3343.60071,tp,22,77.21,73.01,False,up,True,9.1,compression,0.058,narrow,True
long,ny,2025-07-02T14:55:00+00:00,3340.65,3340.65,3337.03,2.74429,3336.53357,3348.88286,2025-07-02T16:55:00+00:00,3348.88286,tp,24,82.33,78.13,False,up,True,9.1,compression,0.074,narrow,True
long,london,2025-07-03T08:40:00+00:00,3353.83,3353.83,3352.56,2.05643,3350.74536,3359.99929,2025-07-03T09:25:00+00:00,3350.74536,sl,9,-30.85,-35.05,False,up,True,4.5,compression,0.027,narrow,False
short,ny,2025-07-03T14:45:00+00:00,3325.74,3331.15,3325.74,4.31143,3332.20714,3312.80571,2025-07-03T16:35:00+00:00,3332.20714,sl,22,-64.67,-68.87,False,down,True,4.5,compression,0.114,narrow,False
long,london,2025-07-04T08:15:00+00:00,3344.11,3344.11,3340.86,2.33571,3340.60643,3351.11714,2025-07-04T09:05:00+00:00,3340.60643,sl,10,-35.04,-39.24,False,down,False,0.0,compression,0.069,narrow,False
short,ny,2025-07-04T14:45:00+00:00,3330.99,3334.11,3330.99,1.83429,3333.74143,3325.48714,2025-07-04T14:55:00+00:00,3333.74143,sl,2,-27.51,-31.71,False,down,True,0.0,compression,0.066,narrow,False
long,london,2025-07-07T08:35:00+00:00,3306.95,3306.95,3301.24,2.61,3303.035,3314.78,2025-07-07T10:40:00+00:00,3303.035,sl,25,-39.15,-43.35,False,up,True,0.0,compression,0.131,narrow,True
long,ny,2025-07-07T14:50:00+00:00,3319.78,3319.78,3314.43,2.83929,3315.52107,3328.29786,2025-07-07T17:00:00+00:00,3328.29786,tp,26,85.18,80.98,False,up,True,0.0,compression,0.123,narrow,False
short,london,2025-07-08T08:15:00+00:00,3326.03,3333.96,3326.03,2.43714,3329.68571,3318.71857,2025-07-08T12:35:00+00:00,3329.68571,sl,52,-36.56,-40.76,False,down,True,4.8,compression,0.178,narrow,False
short,ny,2025-07-08T14:45:00+00:00,3295.03,3304.92,3295.03,4.93643,3302.43464,3280.22071,2025-07-08T17:00:00+00:00,3302.43464,sl,27,-74.05,-78.25,False,down,True,4.8,compression,0.222,narrow,False
short,london,2025-07-09T08:15:00+00:00,3288.5,3292.55,3288.5,2.91714,3292.87571,3279.74857,2025-07-09T10:30:00+00:00,3292.87571,sl,27,-43.76,-47.96,False,down,True,9.1,compression,0.089,narrow,False
long,ny,2025-07-09T14:55:00+00:00,3312.41,3312.41,3306.68,3.265,3307.5125,3322.205,2025-07-09T15:10:00+00:00,3307.5125,sl,3,-48.98,-53.18,False,up,True,9.1,compression,0.126,narrow,False
long,london,2025-07-10T08:40:00+00:00,3322.44,3322.44,3319.91,1.78,3319.77,3327.78,2025-07-10T08:45:00+00:00,3327.78,tp,1,53.4,49.2,False,up,True,9.1,compression,0.056,narrow,False
short,ny,2025-07-10T16:40:00+00:00,3312.89,3317.64,3312.89,1.61643,3315.31464,3308.04071,2025-07-10T17:00:00+00:00,3315.31464,sl,4,-24.25,-28.45,False,up,False,9.1,compression,0.105,narrow,False
long,london,2025-07-11T08:15:00+00:00,3343.35,3343.35,3340.67,1.95643,3340.41536,3349.21929,2025-07-11T08:25:00+00:00,3340.41536,sl,2,-29.35,-33.55,False,up,True,4.5,compression,0.06,narrow,False
