variant,direction,entry_ts,entry_price,exit_ts,exit_price,sl,tp,atr,reason,bars_held,peak_price,peak_pips,pnl_pips,net_pips
CANON,long,2026-03-31T08:35:00+00:00,4573.36,2026-03-31T09:00:00+00:00,4564.35143,4564.35143,4591.37714,6.00571,sl,5,4573.36,0.0,-90.09,-94.29
CANON,long,2026-03-31T16:35:00+00:00,4630.1,2026-03-31T17:00:00+00:00,4654.65929,4617.82036,4654.65929,8.18643,tp,5,4647.92,178.2,245.59,241.39
CANON,long,2026-04-01T08:15:00+00:00,4726.45,2026-04-01T11:35:00+00:00,4756.99429,4711.17786,4756.99429,10.18143,tp,40,4756.93,304.8,305.44,301.24
CANON,long,2026-04-01T14:45:00+00:00,4756.59,2026-04-01T17:05:00+00:00,4791.885,4738.9425,4791.885,11.765,tp,28,4790.8,342.1,352.95,348.75
CANON,short,2026-04-02T08:45:00+00:00,4628.99,2026-04-02T11:40:00+00:00,4601.74357,4642.61321,4601.74357,9.08214,tp,35,4600.04,289.5,272.46,268.26
CANON,long,2026-04-06T08:25:00+00:00,4694.54,2026-04-06T11:45:00+00:00,4682.49929,4682.49929,4718.62143,8.02714,sl,40,4703.74,92.0,-120.41,-124.61
CANON,short,2026-04-06T15:05:00+00:00,4678.68,2026-04-06T19:15:00+00:00,4645.79143,4695.12429,4645.79143,10.96286,tp,50,4647.84,308.4,328.89,324.69
CANON,long,2026-04-07T08:20:00+00:00,4665.08,2026-04-07T09:10:00+00:00,4692.86214,4651.18893,4692.86214,9.26071,tp,10,4685.94,208.6,277.82,273.62
CANON,short,2026-04-07T14:50:00+00:00,4642.58,2026-04-07T16:00:00+00:00,4662.99286,4662.99286,4601.75429,13.60857,sl,14,4628.07,145.1,-204.13,-208.33
CANON,long,2026-04-08T08:15:00+00:00,4819.38,2026-04-08T08:20:00+00:00,4809.84214,4809.84214,4838.45571,6.35857,sl,1,4819.38,0.0,-95.38,-99.58
CANON,short,2026-04-08T14:45:00+00:00,4751.1,2026-04-08T18:40:00+00:00,4711.77857,4770.76071,4711.77857,13.10714,tp,47,4709.34,417.6,393.21,389.01
CANON,long,2026-04-09T08:20:00+00:00,4726.51,2026-04-09T11:35:00+00:00,4748.39071,4715.56964,4748.39071,7.29357,tp,39,4748.93,224.2,218.81,214.61
CANON,long,2026-04-09T14:55:00+00:00,4767.72,2026-04-09T15:35:00+00:00,4796.67,4753.245,4796.67,9.65,tp,8,4792.26,245.4,289.5,285.3
CANON,short,2026-04-10T08:15:00+00:00,4747.16,2026-04-10T08:45:00+00:00,4733.41357,4754.03321,4733.41357,4.58214,tp,6,4735.48,116.8,137.46,133.26
CANON,short,2026-04-10T15:40:00+00:00,4774.66,2026-04-10T16:05:00+00:00,4748.42071,4787.77964,4748.42071,8.74643,tp,5,4753.77,208.9,262.39,258.19
CANON,short,2026-04-13T08:55:00+00:00,4732.28,2026-04-13T09:10:00+00:00,4716.39714,4740.22143,4716.39714,5.29429,tp,3,4717.77,145.1,158.83,154.63
CANON,short,2026-04-13T15:00:00+00:00,4708.69,2026-04-13T16:15:00+00:00,4721.29857,4721.29857,4683.47286,8.40571,sl,15,4703.75,49.4,-126.09,-130.29
CANON,long,2026-04-14T08:25:00+00:00,4782.58,2026-04-14T09:30:00+00:00,4773.88321,4773.88321,4799.97357,5.79786,sl,13,4788.62,60.4,-86.97,-91.17
CANON,long,2026-04-14T16:25:00+00:00,4817.97,2026-04-14T17:35:00+00:00,4835.865,4809.0225,4835.865,5.965,tp,14,4837.86,198.9,178.95,174.75
CANON,short,2026-04-15T09:10:00+00:00,4804.6,2026-04-15T11:50:00+00:00,4813.92679,4813.92679,4785.94643,6.21786,sl,32,4794.29,103.1,-93.27,-97.47
CANON,short,2026-04-15T15:15:00+00:00,4815.48,2026-04-15T15:30:00+00:00,4797.20786,4824.61607,4797.20786,6.09071,tp,3,4795.28,202.0,182.72,178.52
CANON,short,2026-04-16T08:30:00+00:00,4807.29,2026-04-16T08:55:00+00:00,4814.19536,4814.19536,4793.47929,4.60357,sl,5,4807.29,0.0,-69.05,-73.25
CANON,long,2026-04-16T16:05:00+00:00,4800.59,2026-04-16T16:30:00+00:00,4790.22821,4790.22821,4821.31357,6.90786,sl,5,4804.99,44.0,-103.62,-107.82
CANON,long,2026-04-17T08:45:00+00:00,4790.99,2026-04-17T10:40:00+00:00,4783.50607,4783.50607,4805.95786,4.98929,sl,23,4799.16,81.7,-74.84,-79.04
CANON,long,2026-04-20T08:50:00+00:00,4791.77,2026-04-20T09:30:00+00:00,4785.905,4785.905,4803.5,3.91,sl,8,4796.12,43.5,-58.65,-62.85
CANON,short,2026-04-20T15:00:00+00:00,4810.61,2026-04-20T22:00:00+00:00,4822.92714,4822.92714,4785.97571,8.21143,sl,72,4794.95,156.6,-123.17,-127.37
CANON,long,2026-04-21T08:40:00+00:00,4787.61,2026-04-21T11:05:00+00:00,4779.74893,4779.74893,4803.33214,5.24071,sl,29,4790.09,24.8,-78.61,-82.81
CANON,short,2026-04-21T14:45:00+00:00,4743.73,2026-04-21T16:50:00+00:00,4715.90714,4757.64143,4715.90714,9.27429,tp,25,4709.37,343.6,278.23,274.03
CANON,short,2026-04-22T08:15:00+00:00,4757.75,2026-04-22T10:05:00+00:00,4747.54571,4762.85214,4747.54571,3.40143,tp,22,4748.6,91.5,102.04,97.84
CANON,short,2026-04-22T15:15:00+00:00,4729.96,2026-04-22T17:10:00+00:00,4739.39393,4739.39393,4711.09214,6.28929,sl,23,4724.75,52.1,-94.34,-98.54
CANON,short,2026-04-23T08:40:00+00:00,4717.51,2026-04-23T09:00:00+00:00,4701.73643,4725.39679,4701.73643,5.25786,tp,4,4696.8,207.1,157.74,153.54
CANON,long,2026-04-23T14:50:00+00:00,4734.71,2026-04-23T15:45:00+00:00,4724.19714,4724.19714,4755.73571,7.00857,sl,11,4738.43,37.2,-105.13,-109.33
CANON,long,2026-04-24T08:20:00+00:00,4694.65,2026-04-24T08:25:00+00:00,4688.19464,4688.19464,4707.56071,4.30357,sl,1,4694.65,0.0,-64.55,-68.75
CANON,long,2026-04-24T15:45:00+00:00,4732.88,2026-04-24T15:50:00+00:00,4724.11786,4724.11786,4750.40429,5.84143,sl,1,4732.88,0.0,-87.62,-91.82
CANON,short,2026-04-27T08:20:00+00:00,4710.22,2026-04-27T12:40:00+00:00,4699.26143,4715.69929,4699.26143,3.65286,tp,52,4698.88,113.4,109.59,105.39
CANON,short,2026-04-27T14:50:00+00:00,4683.53,2026-04-27T20:50:00+00:00,4678.83,4693.16107,4664.26786,6.42071,time,72,4668.75,147.8,47.0,42.8
CANON,short,2026-04-28T09:20:00+00:00,4614.83,2026-04-28T11:10:00+00:00,4599.00714,4622.74143,4599.00714,5.27429,tp,22,4598.52,163.1,158.23,154.03
LIVE,short,2026-02-04T16:40:00+00:00,4967.64,2026-02-04T16:45:00+00:00,4889.99357,5006.46321,4889.99357,25.88214,tp,1,4967.64,0.0,776.46,772.26
LIVE,long,2026-02-05T08:15:00+00:00,4942.19,2026-02-05T08:25:00+00:00,4922.72643,4922.72643,4981.11714,12.97571,sl,2,4942.19,0.0,-194.64,-198.84
LIVE,short,2026-02-05T15:45:00+00:00,4805.88,2026-02-05T16:20:00+00:00,4841.99143,4841.99143,4733.65714,24.07429,sl,7,4805.88,0.0,-361.11,-365.31
LIVE,long,2026-02-06T08:15:00+00:00,4853.67,2026-02-06T08:35:00+00:00,4862.78,4838.4,4884.21,10.18,scalp_trail,4,4880.25,265.8,91.1,86.9
LIVE,long,2026-02-06T14:55:00+00:00,4947.44,2026-02-06T15:10:00+00:00,4948.04,4925.17786,4991.96429,14.84143,scalp_trail,3,4957.63,101.9,6.0,1.8
LIVE,long,2026-02-09T08:20:00+00:00,5021.2,2026-02-09T08:50:00+00:00,5024.86,5008.405,5046.79,8.53,scalp_trail,6,5029.72,85.2,36.6,32.4
LIVE,long,2026-02-09T14:45:00+00:00,5037.26,2026-02-09T16:00:00+00:00,5066.22929,5022.77536,5066.22929,9.65643,tp,15,5060.11,228.5,289.69,285.49
