direction,session,entry_ts,entry_price,box_high,box_low,atr,sl,tp,exit_ts,exit_price,exit_reason,bars_held,pnl_pips,net_pips,is_oos,orb_internal_dir,h1_aligned,atr_percentile,h2_regime,orb_size_atr,h3_tier,h5_swept_pre
short,ny,2025-06-05T14:45:00+00:00,3367.22,3383.21,3369.49,6.64,3377.18,3347.3,2025-06-05T15:45:00+00:00,3347.3,tp,12,199.2,195.0,False,down,True,0.0,compression,0.206,narrow,False
long,london,2025-06-06T08:40:00+00:00,3367.15,3362.24,3358.53,3.02929,3362.60607,3376.23786,2025-06-06T09:05:00+00:00,3362.60607,sl,5,-45.44,-49.64,False,down,False,0.0,compression,0.057,narrow,False
short,ny,2025-06-06T16:50:00+00:00,3321.04,3334.28,3322.54,2.85429,3325.32143,3312.47714,2025-06-06T17:00:00+00:00,3325.32143,sl,2,-42.81,-47.01,False,up,False,0.0,compression,0.182,narrow,False
short,london,2025-06-09T09:30:00+00:00,3319.94,3325.5,3322.77,2.46,3323.63,3312.56,2025-06-09T10:50:00+00:00,3312.56,tp,16,73.8,69.6,False,down,True,10.0,compression,0.041,narrow,False
long,ny,2025-06-09T15:05:00+00:00,3323.77,3322.71,3316.12,3.09786,3319.12321,3333.06357,2025-06-09T16:20:00+00:00,3333.06357,tp,15,92.94,88.74,False,down,False,10.0,compression,0.1,narrow,False
long,london,2025-06-10T08:15:00+00:00,3332.83,3332.66,3326.83,3.07429,3328.21857,3342.05286,2025-06-10T08:35:00+00:00,3328.21857,sl,4,-46.11,-50.31,False,up,True,0.0,compression,0.094,narrow,False
short,ny,2025-06-10T14:50:00+00:00,3327.92,3333.59,3329.03,4.39357,3334.51036,3314.73929,2025-06-10T19:35:00+00:00,3334.51036,sl,57,-65.9,-70.1,False,down,True,0.0,compression,0.073,narrow,False
long,london,2025-06-11T08:40:00+00:00,3346.29,3345.76,3343.87,2.63214,3342.34179,3354.18643,2025-06-11T09:00:00+00:00,3342.34179,sl,4,-39.48,-43.68,False,up,True,8.3,compression,0.03,narrow,False
long,ny,2025-06-11T15:15:00+00:00,3341.49,3341.3,3332.4,3.28643,3336.56036,3351.34929,2025-06-11T15:40:00+00:00,3336.56036,sl,5,-49.3,-53.5,False,up,True,8.3,compression,0.142,narrow,False
long,london,2025-06-12T09:50:00+00:00,3366.73,3351.38,3346.5,3.17286,3361.97071,3376.24857,2025-06-12T10:25:00+00:00,3376.24857,tp,7,95.19,90.99,False,up,True,0.0,compression,0.079,narrow,False
short,ny,2025-06-12T15:10:00+00:00,3380.02,3390.63,3384.47,4.36357,3386.56536,3366.92929,2025-06-12T15:20:00+00:00,3386.56536,sl,2,-65.45,-69.65,False,up,False,0.0,compression,0.099,narrow,False
long,london,2025-06-13T08:20:00+00:00,3425.58,3422.7,3414.36,3.58429,3420.20357,3436.33286,2025-06-13T09:30:00+00:00,3420.20357,sl,14,-53.76,-57.96,False,up,True,0.0,compression,0.138,narrow,False
long,ny,2025-06-13T14:45:00+00:00,3439.56,3436.82,3433.0,5.10214,3431.90679,3454.86643,2025-06-13T14:50:00+00:00,3431.90679,sl,1,-76.53,-80.73,False,up,True,0.0,compression,0.063,narrow,False
long,london,2025-06-16T10:45:00+00:00,3418.81,3415.17,3409.79,2.48143,3415.08786,3426.25429,2025-06-16T11:45:00+00:00,3415.08786,sl,12,-37.22,-41.42,False,up,True,13.3,compression,0.087,narrow,False
short,london,2025-06-17T08:30:00+00:00,3384.87,3388.66,3384.91,2.88857,3389.20286,3376.20429,2025-06-17T09:05:00+00:00,3376.20429,tp,7,86.66,82.46,False,down,True,25.0,compression,0.06,narrow,False
short,london,2025-06-18T08:50:00+00:00,3383.33,3388.39,3384.97,2.05,3386.405,3377.18,2025-06-18T09:55:00+00:00,3377.18,tp,13,61.5,57.3,False,down,True,0.0,compression,0.057,narrow,False
long,ny,2025-06-18T14:45:00+00:00,3389.35,3388.77,3382.39,4.50714,3382.58929,3402.87143,2025-06-18T15:15:00+00:00,3382.58929,sl,6,-67.61,-71.81,False,up,True,0.0,compression,0.107,narrow,False
long,london,2025-06-19T08:35:00+00:00,3366.95,3366.5,3362.27,3.61071,3361.53393,3377.78214,2025-06-19T10:25:00+00:00,3377.78214,tp,22,108.32,104.12,False,down,False,0.0,compression,0.075,narrow,False
long,ny,2025-06-19T15:50:00+00:00,3370.14,3366.78,3361.67,2.64714,3366.16929,3378.08143,2025-06-19T16:15:00+00:00,3366.16929,sl,5,-39.71,-43.91,False,up,True,0.0,compression,0.091,narrow,False
long,london,2025-06-20T08:40:00+00:00,3352.27,3349.06,3346.75,2.17929,3349.00107,3358.80786,2025-06-20T09:45:00+00:00,3358.80786,tp,13,65.38,61.18,False,up,True,0.0,compression,0.042,narrow,False
long,ny,2025-06-20T15:00:00+00:00,3371.26,3370.45,3365.4,3.39143,3366.17286,3381.43429,2025-06-20T15:15:00+00:00,3366.17286,sl,3,-50.87,-55.07,False,down,False,0.0,compression,0.091,narrow,False
